Source,General_Pos,Finer_Pos
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3830.0,3063.0
Steering,3031.0,3565.0
Steering,3031.0,3665.0
Steering,3031.0,3665.0
Steering,3031.0,3765.0
Steering,3031.0,3765.0
Steering,3031.0,3865.0
Steering,3031.0,3865.0
Steering,3031.0,3965.0
Steering,3031.0,3965.0
Steering,3031.0,6165.0
Steering,3031.0,6165.0
Steering,3031.0,6165.0
Steering,3031.0,6265.0
Steering,3031.0,6265.0
Steering,3031.0,6265.0
Steering,3031.0,6365.0
Steering,3031.0,6365.0
Steering,3031.0,6465.0
Steering,3031.0,6465.0
Steering,3031.0,6465.0
Steering,3031.0,6565.0
Steering,3031.0,6565.0
Steering,3031.0,6665.0
Steering,3031.0,6665.0
Steering,3031.0,6665.0
Steering,3031.0,6665.0
Steering,3032.0,3065.0
Steering,3032.0,3065.0
Steering,3032.0,3065.0
Steering,3032.0,3165.0
Steering,3032.0,3165.0
Steering,3032.0,3165.0
Steering,3032.0,3165.0
Steering,3032.0,3265.0
Steering,3032.0,3265.0
Steering,3032.0,3265.0
Steering,3032.0,3365.0
Steering,3032.0,3365.0
Steering,3032.0,3365.0
Steering,3032.0,3465.0
Steering,3032.0,3465.0
Steering,3032.0,3465.0
Steering,3032.0,3565.0
Steering,3032.0,3565.0
Steering,3032.0,3665.0
Steering,3032.0,3665.0
Steering,3032.0,3765.0
Steering,3032.0,3765.0
Steering,3032.0,3865.0
Steering,3032.0,3865.0
Steering,3032.0,3965.0
Steering,3032.0,3965.0
Steering,3032.0,3965.0
Steering,3032.0,6165.0
Steering,3032.0,6165.0
Steering,3032.0,6265.0
Steering,3032.0,6265.0
Steering,3032.0,6365.0
Steering,3032.0,6365.0
Steering,3032.0,6465.0
Steering,3032.0,6465.0
Steering,3032.0,6465.0
Steering,3032.0,6565.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3365.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3265.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3165.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3033.0,3065.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
Steering,3032.0,6665.0
